player_name,2021 (The Open Championship),2022 (The Open Championship),2023 (The Open Championship),2024 (The Open Championship),2025 (The Open Championship),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Scott, Adam",T46,T15,T33,T10,CUT,78,1.662,0.377,null,null
"Westwood, Lee",T59,T34,null,null,T34,70,1.485,0.722,null,null
"Garcia, Sergio",T19,T68,null,null,T34,70,1.798,0.578,null,null
"Stenson, Henrik",CUT,CUT,T13,CUT,T45,68,1.701,0.938,null,null
"Mickelson, Phil",CUT,CUT,CUT,T60,T56,66,1.184,0.189,null,null
"Johnson, Zach",null,CUT,T55,CUT,CUT,66,1.09,0.261,null,null
"Cink, Stewart",CUT,CUT,T23,CUT,CUT,62,0.833,0.356,null,null
"Casey, Paul",T15,T53,null,null,null,62,0.605,-0.326,null,null
"Els, Ernie",CUT,CUT,CUT,WD,null,61,1.121,0.453,null,null
"Harrington, Padraig",72,CUT,T64,T22,CUT,60,0.467,0.248,null,null
"Rose, Justin",T46,null,CUT,T2,T16,60,1.563,0.361,null,null
"Clarke, Darren",CUT,CUT,CUT,T75,CUT,58,0.095,0.899,null,null
"McIlroy, Rory",T46,3,T6,CUT,T7,58,2.056,0.482,null,null
"Johnson, Dustin",T8,T6,CUT,T31,T23,58,1.436,0.089,null,null
"Poulter, Ian",T26,T62,null,null,null,54,0.739,-0.066,null,null
"Molinari, Francesco",CUT,T15,CUT,CUT,T63,54,1.072,0.372,null,null
"Fowler, Rickie",T53,null,T23,71,T14,54,1.666,0.563,null,null
"Oosthuizen, Louis",T3,CUT,T23,CUT,CUT,52,0.926,0.217,null,null
"McDowell, Graeme",null,null,null,null,null,50,0.955,0.184,null,null
"Furyk, Jim",null,null,null,null,null,48,1.264,-0.022,null,null
"Jimenez, Miguel Angel",null,null,null,null,null,48,1.008,0.735,null,null
"Spieth, Jordan",2,T8,T23,T25,T40,48,2.201,0.782,null,null
"Lawrie, Paul",null,CUT,null,null,null,46,-0.482,-0.115,null,null
"Woods, Tiger",null,CUT,null,CUT,null,46,1.568,-0.092,null,null
"Kuchar, Matt",CUT,null,null,null,null,46,0.897,-0.385,null,null
"Day, Jason",CUT,null,T2,T13,CUT,46,1.456,0.2,null,null
"Schwartzel, Charl",null,null,CUT,null,null,44,1.008,0.198,null,null
"Calcavecchia, Mark",null,CUT,null,null,null,42,-0.139,0.812,null,null
"Lehman, Tom",null,null,null,null,null,42,0.183,0.093,null,null
"Donald, Luke",null,null,null,null,null,42,0.977,-0.273,null,null
"Kaymer, Martin",CUT,null,null,null,null,42,0.928,-0.004,null,null
"Woodland, Gary",CUT,CUT,T55,T50,null,42,0.485,-0.122,null,null
"Lowry, Shane",T12,T21,CUT,6,T40,42,1.604,0.761,null,null
"Hamilton, Todd",null,null,null,CUT,null,40,-1.231,0.142,null,null
"Leonard, Justin",null,null,null,CUT,T59,40,0.332,0.39,null,null
"Willett, Danny",T33,T53,T68,null,null,40,0.99,0.781,null,null
"Daly, John",null,CUT,CUT,WD,null,39,-1.116,0.039,null,null
"Goosen, Retief",null,null,null,null,null,39,1.595,0.594,null,null
"Noren, Alex",CUT,null,T23,T13,null,39,1.129,0.52,null,null
"O'Meara, Mark",null,null,null,null,null,38,-0.514,0.852,null,null
"Choi, K.J.",null,null,null,null,CUT,38,0.669,-0.069,null,null
"Mahan, Hunter",null,null,null,null,null,38,1.244,0.476,null,null
"Leishman, Marc",CUT,CUT,null,null,T52,38,0.829,0.17,null,null
"Grace, Branden",CUT,null,CUT,null,null,38,0.386,-0.122,null,null
"Matsuyama, Hideki",null,T68,T13,T66,T16,38,1.131,-0.139,null,null
"Hatton, Tyrrell",CUT,T11,T20,CUT,T16,38,0.497,-0.243,null,null
"Koepka, Brooks",T6,CUT,T64,T43,CUT,38,0.799,-0.277,null,null
"Lyle, Sandy",null,null,null,null,null,36,-2.351,0.029,null,null
"Jaidee, Thongchai",null,null,null,null,null,36,0.564,0.201,null,null
"Glover, Lucas",CUT,null,null,CUT,T23,36,0.22,-0.46,null,null
"Fisher, Ross",null,null,null,null,null,36,0.666,0.025,null,null
"Simpson, Webb",T19,CUT,null,null,null,36,1.072,-0.048,null,null
"Fleetwood, Tommy",T33,T4,T10,CUT,T16,36,1.57,0.43,null,null
"Bradley, Keegan",CUT,CUT,CUT,CUT,T30,36,0.748,-0.197,null,null
"An, Byeong Hun",T26,null,T23,T13,CUT,36,0.739,0.302,null,null
"Fitzpatrick, Matt",T26,T21,T41,T50,T4,36,1.053,0.181,null,null
"Duval, David",null,CUT,null,null,null,34,-2.788,-0.605,null,null
"Watson, Bubba",null,null,null,null,null,34,0.658,-0.441,null,null
"Olesen, Thorbjorn",null,null,CUT,T43,CUT,34,0.194,0.057,null,null
"English, Harris",T46,CUT,CUT,T50,2,34,0.757,0.061,null,null
"Henley, Russell",CUT,T62,CUT,5,T10,34,0.542,-0.26,null,null
"Rahm, Jon",T3,T34,T2,T7,T34,34,1.767,-0.051,null,null
"Watson, Tom",null,null,null,null,null,32,0.273,1.269,null,null
"Singh, Vijay",null,null,null,null,null,32,1.069,-0.337,null,null
"Stricker, Steve",null,null,null,null,null,32,1.907,0.49,null,null
"Bjorn, Thomas",null,null,null,null,null,32,0.379,-0.131,null,null
"Hoffman, Charley",CUT,null,null,null,null,32,0.175,-0.524,null,null
"Curtis, Ben",null,null,null,null,null,32,-0.632,-0.441,null,null
"Dufner, Jason",null,null,null,null,null,32,0.795,-0.047,null,null
"Snedeker, Brandt",T19,null,null,null,null,32,0.69,-0.039,null,null
"Harman, Brian",T19,T6,1,T60,T10,32,1.599,0.707,null,null
"Finau, Tony",T15,T28,CUT,CUT,T56,32,1.473,0.44,null,null
"Reed, Patrick",CUT,T47,T33,null,CUT,32,1.01,0.006,null,null
"Schauffele, Xander",T26,T15,T17,1,T7,32,2.402,0.825,null,null
"Allenby, Robert",null,null,null,null,null,30,0.634,-0.42,null,null
"Ogilvy, Geoff",null,null,null,null,null,30,0.575,-0.198,null,null
"Cabrera, Angel",null,null,null,null,null,30,0.8,0.05,null,null
"Na, Kevin",null,CUT,null,null,null,30,0.28,-0.463,null,null
"Cabrera Bello, Rafa",CUT,null,null,null,null,30,0.529,-0.145,null,null
"Moore, Ryan",null,null,null,null,null,30,0.932,0.026,null,null
"O'Hair, Sean",null,null,null,null,null,30,0.465,-0.329,null,null
"Holmes, J.B.",null,null,null,null,null,30,0.223,-0.406,null,null
"Luiten, Joost",CUT,null,T71,CUT,null,30,-0.529,-0.909,null,null
"Fox, Ryan",T67,CUT,T52,T25,CUT,30,0.72,0.384,null,null
"Thomas, Justin",T40,T53,CUT,T31,T34,30,0.631,-0.803,null,null
"Jacobson, Freddie",null,null,null,null,null,28,0.646,-0.158,null,null
"Senden, John",null,null,null,null,null,28,0.521,-0.274,null,null
"Howell, David",null,null,null,null,null,28,0.564,0.628,null,null
"Horschel, Billy",T53,T21,CUT,T2,null,28,0.391,-0.323,null,null
"Wood, Chris",null,null,null,null,null,28,1.493,1.503,null,null
"Montgomerie, Colin",null,null,null,null,null,26,0.348,0.276,null,null
"Love III, Davis",null,null,null,null,null,26,0.792,0.01,null,null
"Immelman, Trevor",null,null,null,null,null,26,0.716,0.183,null,null
"Hanson, Peter",null,null,null,null,null,26,0.776,0.111,null,null
"Sterne, Richard",null,null,null,null,null,26,0.044,-0.11,null,null
"Aiken, Thomas",null,null,null,null,null,26,0.612,0.806,null,null
"Wiesberger, Bernd",T59,CUT,null,null,null,26,-0.315,-1.056,null,null
"Kisner, Kevin",73,T21,null,null,null,26,0.761,0.274,null,null
"Smith, Cameron",T33,1,T33,CUT,CUT,26,0.671,-0.12,null,null
"DeChambeau, Bryson",T33,T8,T60,CUT,T10,26,0.582,-0.587,null,null
"Verplank, Scott",null,null,null,null,null,24,0.818,-0.222,null,null
"Pampling, Rod",null,null,null,null,null,24,-0.191,-0.825,null,null
"Kjeldsen, Soren",null,null,null,null,null,24,1.07,0.564,null,null
"Sabbatini, Rory",null,null,null,null,null,24,-0.214,-1.033,null,null
"Dyson, Simon",null,null,null,null,null,24,0.878,0.683,null,null
"Van Pelt, Bo",null,null,null,null,null,24,0.531,-0.484,null,null
"Khan, Simon",null,null,null,null,null,24,0.909,1.123,null,null
"Howell III, Charles",null,null,null,null,null,24,-0.182,-1.011,null,null
"Pettersson, Carl",null,null,null,null,null,24,0.712,0.014,null,null
"Rock, Robert",null,null,null,null,null,24,0.306,0.697,null,null
"Haas, Bill",null,null,null,null,null,24,0.424,-0.676,null,null
"Larrazabal, Pablo",null,CUT,CUT,null,null,24,-1.03,-1.091,null,null
"Ramsay, Richie",null,null,T64,null,null,24,-0.096,0.069,null,null
"Grillo, Emiliano",T12,CUT,T6,T43,null,24,0.779,0.126,null,null
"Pieters, Thomas",null,T28,T71,null,null,24,0.797,0.226,null,null
"Cantlay, Patrick",CUT,T8,T33,T25,CUT,24,1.341,-0.312,null,null
"MacIntyre, Robert",T8,T34,T71,T50,T7,24,1.474,0.874,null,null
"Clark, Tim",null,null,null,null,null,22,-0.204,-1.167,null,null
"Green, Richard",null,null,null,null,null,22,1.118,0.483,null,null
"Karlsson, Robert",null,null,null,null,null,22,0.989,0.323,null,null
"Weir, Mike",null,null,null,null,null,22,0.943,0.081,null,null
"Siem, Marcel",T15,null,T41,T72,null,22,0.653,0.637,null,null
"Molinari, Edoardo",null,null,null,null,null,22,0.412,0.856,null,null
"Donaldson, Jamie",null,CUT,null,null,null,22,-0.27,-0.428,null,null
"Walker, Jimmy",CUT,null,null,null,null,22,-0.078,-0.607,null,null
"Watney, Nick",null,null,null,null,null,22,1.253,0.24,null,null
"Ikeda, Yuta",null,null,null,null,null,22,-0.737,-0.099,null,null
"Fdez-Castano, Gonzalo",CUT,null,null,null,null,22,0.161,0.069,null,null
"Manassero, Matteo",null,null,null,T31,CUT,22,0.581,0.689,null,null
"Conners, Corey",T15,T28,T52,T25,T10,22,1.325,0.148,null,null
"Campbell, Michael",null,null,null,null,null,21,0.673,0.838,null,null
"Faldo, Nick",null,null,null,null,null,20,-2.102,-0.26,null,null
"Broadhurst, Paul",null,null,null,null,null,20,0.297,0.751,null,null
"Kelly, Jerry",null,null,null,null,null,20,-0.932,-1.551,null,null
"Appleby, Stuart",null,null,null,null,null,20,0.245,-0.639,null,null
"Gallacher, Stephen",null,null,null,null,null,20,0.803,0.396,null,null
"Hansen, Anders",null,null,null,null,null,20,0.129,-0.247,null,null
"Wall, Anthony",null,null,null,null,null,20,0.774,0.735,null,null
"Campbell, Chad",null,null,null,null,null,20,-0.123,-0.682,null,null
"Yang, Y.E.",null,null,null,null,null,20,0.259,0.38,null,null
"Romero, Andres",null,null,null,null,null,20,1.52,1.456,null,null
"Palmer, Ryan",CUT,null,null,null,null,20,0.582,-0.161,null,null
"Kim, K.T.",null,null,null,null,null,20,-0.151,-0.372,null,null
"Bourdy, Gregory",null,null,null,null,null,20,0.407,0.137,null,null
"Streelman, Kevin",T19,null,null,null,null,20,0.024,-0.573,null,null
"Coetzee, George",null,null,null,null,null,20,0.818,0.736,null,null
"Stanley, Kyle",null,null,null,null,null,20,0.627,-0.12,null,null
"Kirk, Chris",CUT,T42,CUT,T31,CUT,20,0.564,-0.036,null,null
"Kim, Si Woo",null,T15,CUT,T43,CUT,20,0.337,-0.32,null,null
"Canter, Laurie",null,T79,T17,T25,CUT,20,-0.096,0.214,null,null
"Southgate, Matthew",null,null,T23,CUT,null,20,0.788,1.198,null,null
"Sullivan, Andy",T26,null,null,null,null,20,0.624,-0.034,null,null
"Bezuidenhout, Christiaan",T53,T68,T49,CUT,T34,20,0.44,-0.143,null,null
"Ancer, Abraham",T59,T11,T49,T58,null,20,0.588,-0.068,null,null
"Scheffler, Scottie",T8,T21,T23,T7,1,20,2.688,0.244,null,null
"Wallace, Matt",T40,null,CUT,T41,T45,20,0.577,0.079,null,null
"Ames, Stephen",null,null,null,null,null,18,-0.492,-1.272,null,null
"McGinley, Paul",null,null,null,null,null,18,0.937,0.826,null,null
"Jacquelin, Raphael",null,null,null,null,null,18,0.203,0.078,null,null
"Baddeley, Aaron",null,null,null,null,null,18,-0.567,-0.796,null,null
"Fraser, Marcus",null,null,null,null,null,18,0.209,0.259,null,null
"Wilson, Oliver",null,null,T33,null,null,18,0.118,0.498,null,null
"Kokrak, Jason",T26,T42,null,null,T40,18,0.747,0.219,null,null
"Todd, Brendon",CUT,null,T49,T31,null,18,1.014,0.521,null,null
"Lahiri, Anirban",null,null,null,null,null,18,0.088,-0.071,null,null
"Li, Haotong",CUT,CUT,null,null,T4,18,1.085,1.064,null,null
"Langasque, Romain",CUT,null,T33,null,T61,18,-0.036,0.213,null,null
"Im, Sungjae",null,T81,T20,T7,T52,18,0.461,-0.658,null,null
"Niemann, Joaquin",T59,T53,CUT,T58,CUT,18,0.07,-1.237,null,null
"Hovland, Viktor",T12,T4,T13,CUT,T63,18,1.356,-0.083,null,null
"Burns, Sam",T76,T42,CUT,T31,T45,18,0.265,-0.841,null,null
"Hojgaard, Nicolai",null,T53,T23,T66,T14,18,0.824,0.654,null,null
"Langer, Bernhard",null,null,null,null,null,16,0.457,0.906,null,null
"Perry, Kenny",null,null,null,null,null,16,0.812,-0.363,null,null
"Storm, Graeme",null,null,null,null,null,16,-0.634,-0.468,null,null
"Andersson Hed, Fredrik",null,null,null,null,null,16,-0.476,-0.103,null,null
"DiMarco, Chris",null,null,null,null,null,16,1.352,0.648,null,null
"Rumford, Brett",null,null,null,null,null,16,-0.005,0.874,null,null
"Perez, Pat",null,null,null,null,null,16,0.781,0.17,null,null
"Weekley, Boo",null,null,null,null,null,16,0.684,-0.046,null,null
"Norris, Shaun",CUT,CUT,null,null,CUT,16,-0.712,0.08,null,null
"Jones, Matt",CUT,null,null,null,null,16,0.246,-0.072,null,null
"Villegas, Camilo",null,null,null,null,null,16,0.985,-0.018,null,null
"Laird, Martin",null,null,null,null,null,16,-0.743,-1.504,null,null
"Overton, Jeff",null,null,null,null,null,16,1.318,0.639,null,null
"Frittelli, Dylan",5,T28,null,null,null,16,1.011,0.533,null,null
"Aphibarnrat, Kiradech",null,null,null,null,null,16,-0.693,-0.791,null,null
"Burmester, Dean",T40,T11,null,T19,T61,16,1.194,0.747,null,null
"Sharma, Shubhankar",null,null,T8,T19,null,16,1.547,2.154,null,null
"Berger, Daniel",T8,null,null,null,T30,16,0.982,-0.123,null,null
"Lawrence, Thriston",null,T42,T74,4,T45,16,1.182,1.067,null,null
"Smith, Jordan",null,T47,T41,CUT,T45,16,0.405,-0.161,null,null
"Kitayama, Kurt",CUT,T72,T60,T41,null,16,0.079,-0.232,null,null
"Levet, Thomas",null,null,null,null,null,14,1.12,0.968,null,null
"Taniguchi, Toru",null,null,null,null,null,14,-1.131,-0.392,null,null
"Fujita, Hiroyuki",null,null,null,null,null,14,-0.984,-0.49,null,null
"Fichardt, Darren",null,null,null,80,CUT,14,-3.054,-1.694,null,null
"Havret, Gregory",null,null,null,null,null,14,0.258,0.201,null,null
"Hansen, Soren",null,null,null,null,null,14,0.681,-0.01,null,null
"Bland, Richard",T67,CUT,T33,null,null,14,0.695,0.779,null,null
"Colsaerts, Nicolas",null,null,null,null,null,14,-0.177,-0.528,null,null
"Dougherty, Nick",null,null,null,null,null,14,0.244,-0.137,null,null
"Tanihara, Hideto",null,null,null,null,null,14,-0.38,0.546,null,null
"Warren, Marc",null,null,CUT,null,null,14,-0.56,-0.424,null,null
"Steele, Brendan",T67,null,null,null,null,14,-0.949,-1.389,null,null
"Waring, Paul",CUT,null,null,null,null,14,-0.592,0.368,null,null
"Knox, Russell",null,null,null,null,null,14,0.616,-0.157,null,null
"Hadwin, Adam",CUT,null,null,CUT,null,14,-0.423,-0.937,null,null
"Tringale, Cameron",T26,T62,null,null,null,14,0.521,-0.098,null,null
"Detry, Thomas",CUT,T34,T13,null,T45,14,0.856,0.399,null,null
"Bjork, Alexander",null,CUT,T41,CUT,null,14,-0.794,-0.992,null,null
"Lee, Min Woo",CUT,T21,T41,CUT,CUT,14,0.351,-0.337,null,null
"Herbert, Lucas",CUT,T15,CUT,null,CUT,14,0.457,0.317,null,null
"Migliozzi, Guido",CUT,CUT,T64,T31,CUT,14,-0.675,-0.421,null,null
"Straka, Sepp",null,CUT,T2,T22,T52,14,0.942,0.124,null,null
"Homa, Max",T40,CUT,T10,T43,null,14,1.195,0.217,null,null
"Rai, Aaron",T19,CUT,null,T75,T34,14,0.314,-0.476,null,null
"Morikawa, Collin",1,CUT,CUT,T16,CUT,14,1.582,-0.192,null,null
"Clark, Wyndham",null,T76,T33,CUT,T4,14,0.397,-0.561,null,null
"Jordan, Matthew",null,CUT,T10,T10,T45,14,1.585,1.643,null,null
"Young, Cameron",null,2,T8,T31,CUT,14,2.285,1.324,null,null
"Norman, Greg",null,null,null,null,null,12,0.108,1.235,null,null
"Hend, Scott",null,null,null,null,null,12,-0.547,-0.252,null,null
"Bryant, Bart",null,null,null,null,null,12,0.309,-0.324,null,null
"Micheel, Shaun",null,null,null,null,null,12,0.073,-0.334,null,null
"Chalmers, Greg",null,null,null,null,null,12,-0.544,-0.156,null,null
"Davis, Brian",null,null,null,null,null,12,-1.71,-2.201,null,null
"Owen, Greg",null,null,null,null,null,12,1.234,0.692,null,null
"O'Hern, Nick",null,null,null,null,null,12,0.784,-0.259,null,null
"Jones, Brendan",null,null,null,null,null,12,-0.878,-0.634,null,null
"Beem, Rich",null,null,null,null,null,12,-0.51,-0.359,null,null
"Ilonen, Mikko",null,null,null,null,null,12,0.385,0.631,null,null
"Stadler, Kevin",null,null,null,null,null,12,0.404,0.22,null,null
"Quiros, Alvaro",null,null,null,null,null,12,-0.75,-1.213,null,null
"Oda, Koumei",null,null,null,null,null,12,-1.122,-0.506,null,null
"Tiley, Steven",null,null,null,null,null,12,0.412,1.749,null,null
"Harding, Justin",T19,CUT,null,null,null,12,0.626,0.726,null,null
"Uihlein, Peter",null,null,null,null,null,12,-0.291,-0.553,null,null
"Ishikawa, Ryo",null,null,null,null,null,12,-0.57,-0.56,null,null
"Campillo, Jorge",CUT,null,CUT,T43,null,12,-1.047,-0.97,null,null
"Meronk, Adrian",null,T42,T23,T50,null,12,1.05,0.418,null,null
"Johnston, Andrew",null,null,null,null,null,12,0.84,0.873,null,null
"Kim, Chan",T53,CUT,null,null,null,12,0.374,0.809,null,null
"Pepperell, Eddie",null,null,null,null,null,12,0.953,0.728,null,null
"Lewis, Tom",null,null,null,null,null,12,1.429,1.85,null,null
"Stone, Brandon",null,null,null,null,null,12,-0.645,-0.428,null,null
"Hughes, Mackenzie",T6,CUT,null,T16,CUT,12,0.957,0.603,null,null
"Lombard, Zander",null,CUT,null,null,null,12,-0.554,0.645,null,null
"Dunne, Paul",null,null,null,null,null,12,-0.47,0.333,null,null
"Rozner, Antoine",T59,null,T20,null,T59,12,0.649,0.302,null,null
"Hoshino, Rikuya",CUT,CUT,T60,CUT,CUT,12,-0.983,-0.665,null,null
"Kanaya, Takumi",CUT,CUT,CUT,null,T40,12,-0.36,-0.001,null,null
"Perez, Victor",CUT,T34,T41,CUT,null,12,0.711,0.507,null,null
"Mansell, Richard",T74,T68,null,T50,null,12,-0.099,0.174,null,null
"Kim, Tom",null,T47,T2,CUT,CUT,12,0.97,0.207,null,null
"Ferrie, Kenneth",null,null,null,null,null,11,-1.088,-0.592,null,null
"Couples, Fred",null,null,null,null,null,10,1.368,0.68,null,null
"Frost, David",null,null,null,null,null,10,0.81,1.224,null,null
"Estes, Bob",null,null,null,null,null,10,0.386,0.329,null,null
"Forsyth, Alastair",null,null,null,null,null,10,-0.643,-0.518,null,null
"Kingston, James",null,null,null,null,null,10,0.558,0.672,null,null
"Pernice Jr., Tom",null,null,null,null,null,10,-0.966,-1.246,null,null
"Bickerton, John",null,null,null,null,null,10,-0.043,0.42,null,null
"Goggin, Mathew",null,null,null,null,null,10,0.471,0.336,null,null
"Fasth, Niclas",null,null,null,null,null,10,0.016,-0.138,null,null
"Marksaeng, Prayad",null,null,null,null,null,10,-2.241,-1.731,null,null
"Lonard, Peter",null,null,null,null,null,10,0.689,-0.13,null,null
"Smail, David",null,null,null,null,null,10,-0.942,-0.071,null,null
"Garrido, Ignacio",null,null,null,null,null,10,0.633,1.062,null,null
"Hensby, Mark",null,null,null,null,null,10,0.757,0.669,null,null
"Foster, Mark B.",null,null,null,null,null,10,0.143,0.719,null,null
"Kennedy, Brad",CUT,T53,null,null,null,10,-1.038,-0.027,null,null
"Drummond, Scott",null,null,null,null,null,10,-1.242,-0.086,null,null
"Wakefield, Simon",null,null,null,null,null,10,0.306,0.684,null,null
"Brier, Markus",null,null,null,null,null,10,-0.416,-0.272,null,null
"Crane, Ben",null,null,null,null,null,10,0.86,0.401,null,null
"Takayama, Tadahiro",null,null,null,null,null,10,-0.366,1.417,null,null
"Edfors, Johan",null,null,null,null,null,10,-0.542,-0.455,null,null
"Miyazato, Yusaku",null,null,null,null,null,10,-0.813,-0.369,null,null
"Ho, S.K.",null,null,null,null,null,10,0.689,1.516,null,null
"Marino, Steve",null,null,null,null,null,10,0.228,-0.684,null,null
"Kang, Sung",null,null,null,null,null,10,0.089,0.121,null,null
"Reavie, Chez",T59,null,null,null,null,10,-0.514,-0.972,null,null
"Blixt, Jonas",null,null,null,null,null,10,-0.54,-0.533,null,null
"Dubuisson, Victor",null,null,null,null,null,10,0.233,0.342,null,null
"DeLaet, Graham",null,null,null,null,null,10,-0.525,-1.471,null,null
"Morrison, James",null,null,null,null,null,10,0.524,0.594,null,null
"Hahn, James",null,null,null,null,null,10,-0.775,-1.108,null,null
"Canizares, Alejandro",null,null,CUT,null,null,10,-0.223,0.001,null,null
"Kim, Anthony",null,null,null,null,null,10,2.058,1.423,null,null
"Hebert, Benjamin",T33,null,null,null,null,10,0.554,1.558,null,null
"Chappell, Kevin",null,null,null,null,null,10,1.194,0.437,null,null
"Janewattananond, Jazz",T46,null,CUT,null,null,10,-2.118,-1.731,null,null
"Lingmerth, David",null,null,T68,null,null,10,-0.547,-0.715,null,null
"Senior, Jack",T67,null,null,null,null,10,-1.647,-0.488,null,null
"Hoge, Tom",null,CUT,CUT,T72,CUT,10,-1.87,-2.308,null,null
"Song, Younghan",null,null,null,T72,CUT,10,-0.421,-0.071,null,null
"Varner III, Harold",CUT,T28,null,null,null,10,0.364,-0.396,null,null
"Van Rooyen, Erik",CUT,null,null,null,null,10,1.319,0.86,null,null
"Armitage, Marcus",T53,T74,null,null,null,10,-0.347,-0.097,null,null
"Shinkwin, Callum",null,null,CUT,null,null,10,-1.032,-0.584,null,null
"Catlin, John",CUT,CUT,null,T16,CUT,10,0.191,0.363,null,null
"Gooch, Talor",T33,T34,CUT,null,null,10,0.727,-0.099,null,null
"Schmid, Matti",T59,null,null,null,69,10,-0.846,-0.163,null,null
"Hillier, Daniel",CUT,null,CUT,T19,CUT,10,0.252,0.94,null,null
"Poston, J.T.",null,CUT,T41,CUT,CUT,10,-0.307,-0.928,null,null
"Theegala, Sahith",null,T34,CUT,CUT,CUT,10,-0.734,-1.382,null,null
"Hojgaard, Rasmus",null,null,CUT,T60,T16,10,0.616,0.199,null,null
