player_name,2021 (PGA Championship),2022 (PGA Championship),2023 (PGA Championship),2024 (PGA Championship),2025 (PGA Championship),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Mickelson, Phil",1,null,T58,CUT,CUT,76,1.392,0.281,null,null
"Scott, Adam",CUT,CUT,T29,CUT,T19,76,1.698,0.342,null,null
"Rose, Justin",T8,T13,T9,T6,CUT,72,1.969,0.751,null,null
"Johnson, Zach",CUT,CUT,T58,null,null,66,0.871,0.005,null,null
"McIlroy, Rory",T49,8,T7,T12,T47,66,2.405,0.421,null,null
"Poulter, Ian",T30,CUT,null,null,null,65,1.331,0.522,null,null
"Harrington, Padraig",T4,CUT,T50,CUT,CUT,60,0.504,0.204,null,null
"Furyk, Jim",null,null,null,null,null,58,1.102,-0.174,null,null
"Casey, Paul",T4,null,null,null,null,58,1.113,0.311,null,null
"Garcia, Sergio",CUT,CUT,null,null,T67,56,0.915,-0.483,null,null
"Schwartzel, Charl",CUT,T60,null,null,null,56,0.898,0.074,null,null
"Day, Jason",T44,T55,CUT,T43,CUT,56,2.101,0.649,null,null
"Fowler, Rickie",T8,T23,CUT,T63,CUT,56,1.557,0.388,null,null
"Bradley, Keegan",T17,T48,T29,T18,T8,56,1.744,0.741,null,null
"Westwood, Lee",T71,CUT,null,null,null,54,0.992,0.028,null,null
"Donald, Luke",null,null,CUT,T68,T60,54,1.073,0.399,null,null
"Stricker, Steve",T44,null,null,null,null,54,1.824,0.753,null,null
"Stenson, Henrik",T64,CUT,null,null,null,54,1.747,0.728,null,null
"Johnson, Dustin",CUT,CUT,T55,T43,CUT,54,1.663,0.2,null,null
"Woods, Tiger",null,WD,null,CUT,null,53,1.859,0.088,null,null
"Micheel, Shaun",CUT,CUT,CUT,CUT,CUT,52,-1.423,0.225,null,null
"Watson, Bubba",80,T30,null,null,null,52,0.47,-0.674,null,null
"Molinari, Francesco",null,T55,CUT,CUT,null,52,1.358,0.435,null,null
"Singh, Vijay",null,null,null,null,null,50,0.885,0.048,null,null
"Howell III, Charles",null,null,null,null,null,50,0.598,-0.08,null,null
"Matsuyama, Hideki",T23,T60,T29,T35,CUT,50,1.759,0.363,null,null
"Koepka, Brooks",T2,T55,1,T26,CUT,50,2.479,1.34,null,null
"Beem, Rich",CUT,CUT,null,CUT,null,48,-1.629,0.273,null,null
"Woodland, Gary",T38,T34,CUT,T60,CUT,48,1.077,0.368,null,null
"Lowry, Shane",T4,T23,T12,T6,CUT,48,1.355,0.591,null,null
"Els, Ernie",null,null,null,null,null,46,1.895,0.829,null,null
"Cink, Stewart",T30,T23,null,null,null,46,1.22,0.417,null,null
"Oosthuizen, Louis",T2,T60,null,null,null,46,1.224,0.471,null,null
"Kaymer, Martin",CUT,CUT,null,T73,CUT,46,0.56,0.125,null,null
"Snedeker, Brandt",null,null,null,null,null,46,1.253,0.548,null,null
"Spieth, Jordan",T30,T34,T29,T43,CUT,46,1.603,0.217,null,null
"Choi, K.J.",null,null,null,null,null,44,1.441,0.576,null,null
"Toms, David",null,null,null,null,null,44,1.745,0.952,null,null
"Yang, Y.E.",DQ,CUT,CUT,CUT,null,44,-0.425,0.28,null,null
"Dufner, Jason",CUT,CUT,null,CUT,CUT,44,0.809,0.429,null,null
"Glover, Lucas",null,T23,null,T43,T37,44,0.534,-0.108,null,null
"Moore, Ryan",null,null,null,null,null,44,0.599,-0.143,null,null
"McDowell, Graeme",null,null,null,null,null,44,0.63,-0.044,null,null
"Palmer, Ryan",CUT,CUT,null,null,null,44,0.681,0.221,null,null
"Noren, Alex",T55,CUT,CUT,T12,T17,44,0.764,0.117,null,null
"Simpson, Webb",T30,T20,CUT,null,null,44,1.07,0.05,null,null
"Horschel, Billy",T23,68,CUT,T8,null,44,1.001,0.363,null,null
"Kuchar, Matt",CUT,T34,CUT,null,null,42,1.389,0.165,null,null
"Finau, Tony",T8,T30,T72,T18,T19,42,1.487,0.208,null,null
"Reed, Patrick",T17,T34,T18,T53,CUT,42,1.547,0.571,null,null
"Ogilvy, Geoff",null,null,null,null,null,40,1.487,0.572,null,null
"Walker, Jimmy",T64,null,CUT,CUT,CUT,40,0.772,0.736,null,null
"Leishman, Marc",CUT,T34,null,null,null,40,0.975,0.159,null,null
"Henley, Russell",T71,T60,CUT,T23,CUT,40,0.606,-0.145,null,null
"Hatton, Tyrrell",T38,T13,T15,T63,T60,40,1.403,0.395,null,null
"Daly, John",CUT,CUT,null,WD,null,39,-1.919,-0.436,null,null
"Love III, Davis",null,null,null,null,null,38,-0.086,-0.196,null,null
"Jimenez, Miguel Angel",null,null,null,null,null,38,0.314,-0.073,null,null
"Perez, Pat",null,null,null,null,null,38,0.925,0.508,null,null
"Na, Kevin",CUT,T23,null,null,null,38,0.743,0.178,null,null
"Fleetwood, Tommy",CUT,T5,T18,T26,T41,38,1.227,0.012,null,null
"Clark, Tim",null,null,null,null,null,36,0.899,0.215,null,null
"Harman, Brian",CUT,T34,CUT,T26,T60,36,0.362,-0.221,null,null
"Olesen, Thorbjorn",null,null,CUT,T53,T33,36,0.864,0.539,null,null
"Thomas, Justin",CUT,1,T65,T8,CUT,36,1.919,0.309,null,null
"Smith, Cameron",T59,T13,T9,T63,CUT,36,0.682,0.09,null,null
"Clarke, Darren",null,null,null,null,null,34,-0.728,-0.506,null,null
"Senden, John",null,null,null,null,null,34,0.938,0.285,null,null
"Hoffman, Charley",T17,null,null,CUT,null,34,-0.227,-0.871,null,null
"Sabbatini, Rory",null,null,null,null,null,34,-0.554,-1.148,null,null
"O'Hair, Sean",null,null,null,null,null,34,0.554,-0.163,null,null
"Mahan, Hunter",null,null,null,null,null,34,1.152,0.021,null,null
"Kirk, Chris",CUT,T5,T29,CUT,T55,34,0.55,-0.006,null,null
"Willett, Danny",T64,null,CUT,null,null,34,-0.028,-0.386,null,null
"Haas, Bill",null,null,null,null,null,32,1.184,0.039,null,null
"Holmes, J.B.",null,null,null,null,null,32,0.644,-0.204,null,null
"Streelman, Kevin",T8,T41,null,null,null,32,0.51,0.083,null,null
"Steele, Brendan",77,T9,CUT,null,null,32,1.148,0.647,null,null
"English, Harris",T64,null,CUT,T18,T2,32,1.024,0.201,null,null
"Cantlay, Patrick",T23,CUT,T9,T53,CUT,32,1.359,-0.111,null,null
"Rahm, Jon",T8,T48,T50,CUT,T8,32,1.662,-0.309,null,null
"Schauffele, Xander",CUT,T13,T18,1,T28,32,1.973,0.348,null,null
"Jacobson, Freddie",null,null,null,null,null,30,0.411,-0.218,null,null
"Hanson, Peter",null,null,null,null,null,30,0.972,0.364,null,null
"Curtis, Ben",null,null,null,null,null,30,1.344,1.158,null,null
"Reavie, Chez",CUT,null,T40,null,null,30,0.957,0.759,null,null
"Fisher, Ross",null,null,null,null,null,30,0.164,-0.417,null,null
"Grace, Branden",T38,CUT,null,null,null,30,1.307,0.658,null,null
"Kokrak, Jason",T49,T60,null,null,null,30,0.734,0.114,null,null
"Grillo, Emiliano",T38,null,CUT,CUT,null,30,0.712,0.075,null,null
"Hadwin, Adam",T64,T71,T40,T60,CUT,30,-0.134,-0.538,null,null
"An, Byeong Hun",T49,null,null,T43,74,30,0.385,-0.316,null,null
"Berger, Daniel",T75,CUT,null,null,T33,30,0.436,-0.679,null,null
"Fitzpatrick, Matt",T23,T5,CUT,CUT,T8,30,1.172,0.276,null,null
"Goosen, Retief",null,null,null,null,null,29,1.404,0.228,null,null
"Immelman, Trevor",null,null,null,null,null,28,1.557,0.94,null,null
"Jaidee, Thongchai",null,null,null,null,null,28,-1.153,-1.272,null,null
"Cabrera Bello, Rafa",null,null,null,null,null,28,0.118,-0.425,null,null
"Piercy, Scott",null,null,null,null,null,28,0.956,0.551,null,null
"Watney, Nick",null,null,null,null,null,28,0.504,-0.266,null,null
"DeChambeau, Bryson",T38,null,T4,2,T2,28,2.457,1.068,null,null
"Wallace, Matt",T55,null,T65,T43,T17,28,1.174,0.835,null,null
"Karlsson, Robert",null,null,null,null,null,26,1.696,0.914,null,null
"Small, Mike",null,null,null,null,null,26,-1.916,0.164,null,null
"Allenby, Robert",null,null,null,null,null,26,1.456,0.375,null,null
"Kelly, Jerry",null,null,null,null,null,26,-0.018,-0.459,null,null
"Appleby, Stuart",null,null,null,null,null,26,1.389,0.441,null,null
"Bjorn, Thomas",null,null,null,null,null,26,-0.162,-0.289,null,null
"Henry, J.J.",null,null,null,null,null,26,0.396,0.121,null,null
"Campbell, Chad",null,null,null,null,null,26,1.018,0.398,null,null
"Pettersson, Carl",null,null,null,null,null,26,0.654,0.11,null,null
"Jones, Matt",T30,CUT,null,null,null,26,0.363,-0.082,null,null
"Luiten, Joost",null,null,null,null,null,26,0.802,0.429,null,null
"Kisner, Kevin",CUT,CUT,CUT,null,null,26,0.747,0.359,null,null
"Fox, Ryan",null,54,T23,75,T28,26,0.825,0.367,null,null
"Niemann, Joaquin",T30,T23,CUT,T39,T8,26,0.94,-0.205,null,null
"Perry, Kenny",null,null,null,null,null,25,0.849,-0.092,null,null
"Crane, Ben",null,null,null,null,null,25,0.762,0.144,null,null
"Kim, Si Woo",CUT,T60,CUT,CUT,T8,25,0.022,-0.64,null,null
"Verplank, Scott",null,null,null,null,null,24,0.875,-0.097,null,null
"Montgomerie, Colin",null,null,null,null,null,24,-1.718,-1.475,null,null
"Austin, Woody",null,null,null,null,null,24,1.139,0.629,null,null
"Ames, Stephen",null,null,null,null,null,24,0.971,0.097,null,null
"Flesch, Steve",null,null,null,null,null,24,2.19,1.781,null,null
"De Jonge, Brendon",null,null,null,null,null,24,1.011,0.402,null,null
"Villegas, Camilo",null,null,null,CUT,null,24,0.978,0.416,null,null
"Wiesberger, Bernd",CUT,T30,null,null,null,24,0.593,0.165,null,null
"Pieters, Thomas",CUT,T71,T40,null,null,24,-0.161,-0.714,null,null
"Homa, Max",CUT,T13,T55,T35,T60,24,0.473,-0.269,null,null
"Conners, Corey",T17,CUT,T12,T26,T19,24,1.167,0.12,null,null
"Hovland, Viktor",T30,T41,T2,3,T28,24,2.445,1.031,null,null
"Morikawa, Collin",T8,T55,T26,T4,T50,24,2.112,0.605,null,null
"Gay, Brian",81,null,null,null,null,23,-1.122,-0.92,null,null
"Van Pelt, Bo",null,null,null,null,null,23,0.861,-0.269,null,null
"Weekley, Boo",null,null,null,null,null,23,1.487,0.864,null,null
"Brooks, Mark",null,null,null,null,null,22,-2.955,-0.911,null,null
"Leonard, Justin",null,null,null,null,null,22,0.779,-0.098,null,null
"Cabrera, Angel",null,null,null,null,null,22,-1.016,-1.615,null,null
"Baddeley, Aaron",null,null,null,null,null,22,0.98,0.503,null,null
"Slocum, Heath",null,null,null,null,null,22,0.939,0.447,null,null
"Larrazabal, Pablo",null,CUT,T65,null,null,22,-1.69,-1.387,null,null
"Wood, Chris",null,null,null,null,null,22,-0.382,-0.731,null,null
"Vegas, Jhonattan",null,CUT,null,null,T5,22,0.249,-0.102,null,null
"Tringale, Cameron",CUT,T41,null,null,null,22,-0.586,-1.013,null,null
"Hoge, Tom",T64,T9,T58,T23,CUT,22,1.034,0.58,null,null
"Varner III, Harold",T49,T48,T29,null,null,22,1.073,0.461,null,null
"Herbert, Lucas",T71,T13,T40,T43,null,22,0.759,0.781,null,null
"Scheffler, Scottie",T8,CUT,T2,T8,1,22,3.105,0.908,null,null
"McCarthy, Denny",T59,T48,T29,CUT,T8,22,0.898,0.349,null,null
"MacIntyre, Robert",T49,77,CUT,T8,T47,22,0.282,-0.161,null,null
"Tway, Bob",null,null,null,null,null,20,0.084,0.094,null,null
"Lehman, Tom",null,null,null,null,null,20,-0.224,-0.499,null,null
"Green, Richard",null,null,null,null,null,20,0.012,-0.552,null,null
"Sutherland, Kevin",null,null,null,null,null,20,0.387,-0.095,null,null
"Weir, Mike",null,null,null,null,null,20,0.701,-0.073,null,null
"Hansen, Anders",null,null,null,null,null,20,1.647,1.243,null,null
"Fdez-Castano, Gonzalo",null,null,null,null,null,20,0.383,0.113,null,null
"Laird, Martin",T23,null,null,null,null,20,0.735,0.24,null,null
"Ishikawa, Ryo",null,null,null,null,null,20,-0.253,0.061,null,null
"Chappell, Kevin",null,null,null,null,null,20,0.694,-0.14,null,null
"Hossler, Beau",null,T69,T40,CUT,T19,20,0.603,0.546,null,null
"Poston, J.T.",CUT,null,T40,CUT,T5,20,0.336,-0.173,null,null
"Kitayama, Kurt",CUT,null,T4,T26,CUT,20,0.986,0.771,null,null
"Aphibarnrat, Kiradech",null,null,null,null,null,19,0.436,0.48,null,null
"Pavin, Corey",null,null,null,null,null,18,-0.335,-0.274,null,null
"Duke, Ken",null,null,null,null,null,18,1.163,0.745,null,null
"Elkington, Steve",null,null,null,null,null,18,1.28,0.836,null,null
"Campbell, Michael",null,null,null,null,null,18,0.389,0.74,null,null
"Davis, Brian",null,null,null,null,null,18,0.5,0.321,null,null
"Pampling, Rod",null,null,null,null,null,18,-0.705,-1.386,null,null
"Rollins, John",null,null,null,null,null,18,0.594,0.052,null,null
"Bohn, Jason",null,null,null,null,null,18,0.254,0.048,null,null
"Points, D.A.",null,null,null,null,null,18,1.163,1.055,null,null
"Kim, K.T.",null,null,null,null,null,18,-0.036,-0.428,null,null
"List, Luke",null,T41,null,CUT,null,18,0.813,0.112,null,null
"Sowards, Bob",null,null,null,null,CUT,18,-3.036,-0.019,null,null
"Lee, Danny",null,null,null,null,null,18,0.338,-0.134,null,null
"Todd, Brendon",CUT,null,CUT,78,null,18,-0.727,-1.138,null,null
"Lahiri, Anirban",null,CUT,CUT,null,null,18,0.081,-0.23,null,null
"Knox, Russell",null,CUT,null,null,null,18,0.353,-0.275,null,null
"Dahmen, Joel",T55,CUT,T69,null,null,18,0.381,0.042,null,null
"Mitchell, Keith",null,T34,T58,CUT,CUT,18,0.504,-0.052,null,null
"Im, Sungjae",T17,null,CUT,CUT,CUT,18,-0.079,-0.871,null,null
"Van Rooyen, Erik",CUT,CUT,null,T53,CUT,18,0.103,-0.353,null,null
"Davis, Cam",T59,T48,T4,CUT,T19,18,1.179,0.77,null,null
"Ancer, Abraham",T8,T9,CUT,null,null,18,1.542,0.596,null,null
"Hamilton, Todd",null,null,null,null,null,16,-0.003,0.323,null,null
"Olazabal, Jose Maria",null,null,null,null,null,16,-1.45,-1.57,null,null
"Fasth, Niclas",null,null,null,null,null,16,0.141,-0.338,null,null
"DiMarco, Chris",null,null,null,null,null,16,1.627,1.044,null,null
"Fujita, Hiroyuki",null,null,null,null,null,16,-0.445,-0.1,null,null
"Gallacher, Stephen",null,null,null,null,null,16,-0.747,-1.008,null,null
"Kjeldsen, Soren",null,null,null,null,null,16,0.758,0.374,null,null
"Dyson, Simon",null,null,null,null,null,16,1.538,1.341,null,null
"Taylor, Vaughn",null,null,null,null,null,16,0.299,-0.021,null,null
"Donaldson, Jamie",null,null,null,null,null,16,0.607,0.195,null,null
"Labritz, Rob",CUT,null,null,null,null,16,-1.528,0.69,null,null
"Ikeda, Yuta",null,null,null,null,null,16,0.507,0.694,null,null
"Stroud, Chris",null,null,null,null,null,16,0.46,0.45,null,null
"Coetzee, George",CUT,null,null,null,null,16,0.26,0.381,null,null
"Kim, Anthony",null,null,null,null,null,16,0.335,-0.791,null,null
"Frittelli, Dylan",CUT,null,null,null,null,16,0.628,0.315,null,null
"Block, Michael",null,CUT,T15,CUT,CUT,16,-2.351,0.804,null,null
"Merritt, Troy",null,T41,null,null,null,16,-0.3,-0.323,null,null
"Burmester, Dean",T59,CUT,54,T12,CUT,16,0.555,0.022,null,null
"Putnam, Andrew",null,null,CUT,T53,null,16,-0.169,-0.182,null,null
"Lingmerth, David",null,null,CUT,null,null,16,0.787,0.329,null,null
"Streb, Robert",T59,null,null,null,null,16,2.204,1.73,null,null
"Balin, Daniel",CUT,null,null,null,null,16,-3.628,-0.314,null,null
"Hughes, Mackenzie",CUT,CUT,CUT,CUT,CUT,16,-0.922,-1.238,null,null
"Straka, Sepp",null,78,T7,CUT,CUT,16,0.232,-0.299,null,null
"Spaun, J.J.",null,CUT,CUT,null,T37,16,0.602,0.101,null,null
"Bezuidenhout, Christiaan",T30,CUT,CUT,CUT,T50,16,0.537,0.07,null,null
"Gooch, Talor",T44,T20,CUT,T60,null,16,0.764,0.044,null,null
"McNealy, Maverick",CUT,T75,CUT,T23,T33,16,0.229,-0.333,null,null
"Burns, Sam",null,T20,CUT,CUT,T19,16,0.791,-0.017,null,null
"Wise, Aaron",T17,T23,CUT,null,null,16,0.635,-0.16,null,null
"Sterne, Richard",null,null,null,null,null,15,0.666,0.618,null,null
"Azinger, Paul",null,null,null,null,null,14,-0.456,0.234,null,null
"Schneiter, Steve",null,null,null,null,null,14,-1.753,0.688,null,null
"Mayfair, Billy",null,null,null,null,null,14,0.458,-0.161,null,null
"Katayama, Shingo",null,null,null,null,null,14,0.522,1.072,null,null
"Quigley, Brett",null,null,null,null,null,14,0.103,-0.35,null,null
"McGinley, Paul",null,null,null,null,null,14,0.879,0.704,null,null
"Howell, David",null,null,null,null,null,14,-0.536,-1.067,null,null
"Wi, Charlie",null,null,null,null,null,14,0.107,-0.164,null,null
"O'Hern, Nick",null,null,null,null,null,14,0.262,-0.584,null,null
"Jones, Brendan",null,null,null,null,null,14,-1.323,-1.105,null,null
"Oberholser, Arron",null,null,null,null,null,14,2.097,1.44,null,null
"Byrd, Jonathan",null,null,null,null,null,14,0.216,-0.342,null,null
"Tanihara, Hideto",null,null,null,null,null,14,0.229,0.344,null,null
"Trahan, D.J.",null,null,null,null,null,14,-0.238,-0.796,null,null
"Romero, Andres",null,null,null,null,null,14,0.602,0.182,null,null
"Perry, Rod",null,null,null,null,null,14,-4.431,-0.929,null,null
"Merrick, John",null,null,null,null,null,14,1.207,0.787,null,null
"Noh, S.Y.",null,null,null,null,null,14,1.383,1.075,null,null
"Brown, Scott",null,null,null,null,null,14,0.157,0.222,null,null
"Stallings, Scott",null,CUT,CUT,null,null,14,-0.734,-0.717,null,null
"Cauley, Bud",null,null,null,null,T72,14,0.301,-0.254,null,null
"Zalatoris, Will",T8,2,null,T43,CUT,14,1.835,0.776,null,null
"Perez, Victor",CUT,null,T12,CUT,CUT,14,0.699,0.569,null,null
"Hojgaard, Nicolai",null,CUT,T50,T68,T41,14,-0.023,-0.281,null,null
"Clark, Wyndham",T75,null,CUT,CUT,T50,14,-0.434,-1.07,null,null
"Hojgaard, Rasmus",79,null,CUT,T68,T67,14,-0.524,-0.743,null,null
"Kim, Tom",null,CUT,CUT,T26,71,14,-0.828,-1.147,null,null
"Young, Cameron",null,T3,CUT,T63,T47,14,1.112,0.175,null,null
"Calcavecchia, Mark",null,null,null,null,null,13,-0.769,-0.949,null,null
"Kizzire, Patton",null,T75,null,null,WD,13,-0.241,-0.215,null,null
"Couples, Fred",null,null,null,null,null,12,0.392,-0.37,null,null
"Funk, Fred",null,null,null,null,null,12,0.677,0.098,null,null
"Haas, Jay",null,null,null,null,null,12,-0.305,-0.648,null,null
"Estes, Bob",null,null,null,null,null,12,-0.03,-0.489,null,null
"Sullivan, Chip",null,null,null,null,null,12,-3.103,-1.172,null,null
"Pernice Jr., Tom",null,null,null,null,null,12,0.001,-0.457,null,null
"Goydos, Paul",null,null,null,null,null,12,-0.173,0.069,null,null
"Singh, Jeev Milkha",null,null,null,null,null,12,0.063,-0.2,null,null
"Uresti, Omar",CUT,null,null,null,null,12,-3.757,-0.889,null,null
"Herron, Tim",null,null,null,null,null,12,-0.52,-1.036,null,null
"Green, Nathan",null,null,null,null,null,12,0.705,0.477,null,null
"Riley, Chris",null,null,null,null,null,12,1.503,1.543,null,null
"McNeill, George",null,null,null,null,null,12,-1.159,-1.14,null,null
"Garrigus, Robert",null,null,null,null,null,12,1.391,0.896,null,null
"Molinari, Edoardo",null,null,null,null,null,12,0.467,-0.106,null,null
"Fraser, Marcus",null,null,null,null,null,12,0.195,0.255,null,null
"Molder, Bryce",null,null,null,null,null,12,0.698,0.313,null,null
"Vermeer, Ryan",null,null,null,null,null,12,-2.993,0.506,null,null
"Dobyns, Matt",null,null,null,null,null,12,-3.312,-0.909,null,null
"Warren, Marc",null,null,null,null,null,12,2.096,1.861,null,null
"Kang, Sung",null,null,null,null,null,12,0.867,0.49,null,null
"Blixt, Jonas",null,null,null,null,null,12,1.123,1.038,null,null
"Lorenzo-Vera, Michael",null,null,null,null,null,12,0.979,0.737,null,null
"Overton, Jeff",null,null,null,null,null,12,-0.292,-1.145,null,null
"Hahn, James",null,null,null,null,null,12,0.452,0.061,null,null
"Manassero, Matteo",null,null,null,null,null,12,-0.932,-1.406,null,null
"Summerhays, Daniel",null,null,null,null,null,12,1.384,1.064,null,null
"Herman, Jim",CUT,null,null,null,null,12,-0.512,-0.197,null,null
"Taylor, Nick",null,null,CUT,CUT,CUT,12,-1.15,-1.127,null,null
"Detry, Thomas",CUT,null,T40,T4,CUT,12,1.265,0.91,null,null
"Jertson, Marty",null,null,null,null,null,12,-4.098,-0.727,null,null
"Stone, Brandon",CUT,null,null,null,null,12,-2.309,-1.911,null,null
"Sullivan, Andy",CUT,null,null,null,null,12,-0.507,-1.028,null,null
"Hubbard, Mark",null,null,75,T26,null,12,0.156,-0.057,null,null
"Jaeger, Stephan",null,null,T50,76,70,12,-0.416,-1.248,null,null
"Lee, Min Woo",null,CUT,T18,T26,CUT,12,1.146,0.53,null,null
"Smith, Jordan",null,null,CUT,T39,null,12,1.223,0.932,null,null
"Moore, Taylor",null,null,T72,T12,T19,12,1.167,0.367,null,null
"Champ, Cameron",CUT,CUT,null,null,null,12,-0.058,-0.556,null,null
"Beach, Alex",null,null,null,null,null,12,-4.029,-0.5,null,null
"Lee, K.H.",CUT,T41,T29,WD,null,11,0.246,-0.409,null,null
"Li, Haotong",null,null,null,null,null,11,1.371,1.072,null,null
"Sluman, Jeff",null,null,null,null,null,10,-0.886,-1.303,null,null
"Langer, Bernhard",null,null,null,null,null,10,-0.266,-0.672,null,null
"Allen, Michael",null,null,null,null,null,10,0.358,0.008,null,null
"Mediate, Rocco",null,null,null,null,null,10,-1.672,-1.276,null,null
"Coston, Jeff",null,null,null,null,null,10,-1.57,0.285,null,null
"Bryant, Bart",null,null,null,null,null,10,-0.089,-0.511,null,null
"Durant, Joe",null,null,null,null,null,10,0.792,0.231,null,null
"McCarron, Scott",null,null,null,null,null,10,0.822,0.683,null,null
"Taniguchi, Toru",null,null,null,null,null,10,-1.495,-0.429,null,null
"Wilson, Mark",null,null,null,null,null,10,0.797,0.295,null,null
